DATA;PRODUTIVIDADE_FINAL;PERDA_FINAL;TOTAL_DE_DIAS_SEM_CHUVA;CHUVA_DO_PERÍODO;TEMPERATURA_MEDIA;MAIOR_TEMPERATURA_MAX;MENOR_TEMPERATURA_MIN;Estadual;Nacional
01/11/2019;0,7262;0,2738;78;477;15,88;37,4;-3,2;45,5056;45,3202
01/12/2019;0,5767;0,4233;76;474;18,43;37,4;1,7;45,9425;45,2417
01/01/2020;0,6732;0,3268;77;479;20,88;39,3;3,2;46,923;46,1679
01/02/2020;0,4276;0,5724;77;502;23,14;39,3;8,8;48,6878;47,8821
01/03/2020;0,2363;0,7637;83;358;24,15;39,3;8,6;49,5096;49,2383
01/04/2020;0,314;0,686;93;235;24,68;40;8,6;51,7902;51,4334
01/05/2020;0,2871;0,7129;95;221;23,55;40;5,7;56,0398;54,3195
01/06/2020;0,2838;0,7162;94;331;21,15;40;3,3;61,354;58,3298
01/07/2020;0,4163;0,5837;88;344;19,05;40;0,9;62,5481;60,3122
